Organisation,Branch,Acronym,Name L10n:en,Acronym L10n:en,Type,Sectors,Services,Groups,Country,Region,Website,Email,Phone,Phone2,Twitter,Logo,KV:XX,Comments
Muslim Hands International,,,Muslim Hands International,,INGO,,,,United Kingdom,,,,,,,,,
Naf Model Primary School,,,Naf Model Primary School,,Private,EDUC,,,Bangladesh,,,,,,,,,
NGO forum,,NGO Forum,NGO forum,NGO Forum,NNGO,WASH,,,Bangladesh,,,,,,,,,
Norwegian Church Aid,,NCA,Norwegian Church Aid,NCA,INGO,,,,Norway,,,,,,,,,
Norwegian Refugee Council,,NRC,Norwegian Refugee Council,NRC,INGO,,,,Norway,,,,,,,,,
Orbis International,,,Orbis International,,INGO,,,,United States,,,,,,,,,
Oxfam,,OXFAM,Oxfam,OXFAM,INGO,WASH,,,United Kingdom,,,,,,,,,
Peace Model Primary school,,,Peace Model Primary school,,NNGO,EDUC,,,Bangladesh,,,,,,,,,
Peace Model Primary school,,,Peace Model Primary school,,Private,EDUC,,,Bangladesh,,,,,,,,,
Peace Winds Japan,,,Peace Winds Japan,,INGO,,,,Japan,,,,,,,,,
People In Need,,PIN,People In Need,PIN,INGO,,,,Czech Republic,,,,,,,,,
PHD,,PHD,PHD,PHD,NNGO,HEAL,,,Bangladesh,,,,,,,,,
Plan International,,PLAN,Plan International,PLAN,INGO,"MHPSS, EDUC, DRR, WASH",,,United Kingdom,,,,,,,,,
Premiere Urgence Internationale,,PUI,Premiere Urgence Internationale,PUI,INGO,,,,France,,,,,,,,,
Qatar Charity,,,Qatar Charity,,INGO,,,,Qatar,,,,,,,,,
REACH,,REACH,REACH,REACH,INGO,,,,Switzerland,,,,,,,,,
Relief International,,RI,Relief International,RI,INGO,"HEAL, MHPSS, DRR, WASH",,,United States,,,,,,,,,
RISDA Bangladesh,,RISDA,RISDA Bangladesh,RISDA,NNGO,EDUC,,,Bangladesh,,,,,,,,,
Rongdhono Model Primary School,,,Rongdhono Model Primary School,,Private,EDUC,,,Bangladesh,,,,,,,,,
Rose Model Primary School,,,Rose Model Primary School,,Private,EDUC,,,Bangladesh,,,,,,,,,
Safer World,,,Safer World,,INGO,,,,United Kingdom,,,,,,,,,
Save the Children International,,SCI,Save the Children International,SCI,INGO,"HEAL, MHPSS, EDUC, PROT,DRR, WASH",,,United Kingdom,,,,,,,,,
Shushilon,,,Shushilon,,NNGO,"HEAL, MHPSS, PROT, DRR, WASH, FS, NUT, LL",,,Bangladesh,,,,,,,,,
Social Assistance and Rehabilitation for the Physically Vulnerable,,SARPV,Social Assistance and Rehabilitation for the Physically Vulnerable,SARPV,LNGO,"HEAL, LL",,,Bangladesh,,,,,,,,,
Society For Health Extension & Development,,SHED,Society For Health Extension & Development,SHED,LNGO,"HEAL, EDUC, PROT, LL, DRR",,,Bangladesh,,,,,,,,,
Solidar Suisse,,,Solidar Suisse,,INGO,,,,Switzerland,,,,,,,,,
Solidarites International,,SI,Solidarites International,SI,INGO,"PROT, LL, DRR, WASH",,,France,,,,,,,,,
Street Child,,,Street Child,,INGO,,,,United Kingdom,,,,,,,,,
Sunflower Model Primary School,,,Sunflower Model Primary School,,Private,EDUC,,,Bangladesh,,,,,,,,,
TAI,,TAI,TAI,TAI,LNGO,"MHPSS, EDUC, PROT, DRR, WASH",,,Bangladesh,,,,,,,,,
Tearfund,,,Tearfund,,INGO,,,,United Kingdom,,,,,,,,,
Terre des hommes,,TDH,Terre des hommes,TDH,INGO,"HEAL, PROT",,,Switzerland,,,,,,,,,
Translators without Borders,,,Translators without Borders,,INGO,,,,United States,,,,,,,,,
United Nation High Commissioner for Refugee,,UNHCR,United Nation High Commissioner for Refugee,UNHCR,UN,CCCM,,,Switzerland,,,,,,,,,
United Nations Childrens Fund,,UNICEF,United Nations Childrens Fund,UNICEF,UN,"EDUC, WASH",,,United States,,,,,,,,,
United Nations Population Fund,,UNFPA,United Nations Population Fund,UNFPA,UN,PROT,,,United States,,,,,,,,,
United Purpose,,,United Purpose,,INGO,,,,Unitednited Kingdom,,,,,,,,,
Voluntary Service Overseas,,VSO,Voluntary Service Overseas,VSO,INGO,,,,United Kingdom,,,,,,,,,
Welthungerhilfe,,WHH,Welthungerhilfe,WHH,INGO,,,,Germany,,,,,,,,,
World Concern,,,World Concern,,INGO,,,,United States,,,,,,,,,
World Food Porgram,,WFP,World Food Porgram,WFP,UN,"FS, LOGS, NUT",,,Italy,,,,,,,,,
World Renew,,,World Renew,,INGO,,,,United States,,,,,,,,,
World Vision,,WVI,World Vision,WVI,INGO,,,,United Kingdom,,,,,,,,,
Yepsa,,,Yepsa,,LNGO,"HEAL, EDUC, LL, DRR, WASH",,,Bangladesh,,,,,,,,,
Arts for Action,,,Arts for Action,,INGO,,,,United Kingdom,,,,,,,,,
Community Partners International,,CPI,Community Partners International,CPI,INGO,"HEAL, WASH, PROT, SHEL",,,United States,,,,,,,,,
Center for Social Integrity,,CSI,Center for Social Integrity,CSI,NNGO,,,,Bangladesh,,,,,,,,,
AAR Japan,,,AAR Japan,,INGO,,,,Japan,,,,,,,,,
Medecins du Monde Japan,,MDM Japan,Medicins du Monde,MDM Japan,INGO,,,,Japan,,,,,,,,,
Fondation Hirondelle,,,Fondation Hirondelle,,INGO,,,,Switzerland,,,,,,,,,
